Year,Vmax10m,Vmax100m
1970,22.21,29.32
1971,20.37,26.88
1972,20.39,26.92
1973,18.88,24.92
1974,17.95,23.69
1975,21.4,28.25
1976,17.73,23.41
1977,20.06,26.48
1978,18.51,24.43
1979,26.61,35.13
1980,23.53,31.06
1981,28.95,38.22
1982,16.63,21.95
1983,18.01,23.77
1984,22.37,29.53
1985,22.74,30.02
1986,24.62,32.5
1987,14.41,19.02
1988,26.61,35.12
1989,-999.0,-999.0
1990,21.35,28.19
1991,27.72,36.59
1992,19.4,25.61
1993,23.18,30.6
1994,16.26,21.47
1995,21.76,28.72
1996,20.96,27.66
1997,17.72,23.38
1998,20.59,27.17
1999,20.99,27.7
2000,21.75,28.71
2001,19.05,25.15
2002,21.59,28.5
2003,28.59,37.74
2004,20.51,27.08
2005,24.17,31.91
2006,28.22,37.25
2007,20.78,27.44
2008,18.16,23.97
2009,25.98,34.29
2010,20.51,27.07
2011,17.07,22.53
2012,19.51,25.75
2013,26.79,35.36
2014,20.72,27.35
2015,28.27,37.31
2016,23.77,31.38
2017,19.09,25.2
2018,21.62,28.54
