Year,Vmax10m,Vmax100m
1970,24.45,32.27
1971,22.28,29.4
1972,23.43,30.92
1973,26.15,34.51
1974,20.03,26.44
1975,24.13,31.85
1976,20.61,27.2
1977,20.79,27.45
1978,18.85,24.89
1979,24.23,31.98
1980,25.28,33.37
1981,17.93,23.66
1982,22.7,29.96
1983,28.87,38.11
1984,21.06,27.79
1985,18.86,24.89
1986,26.91,35.53
1987,22.28,29.41
1988,19.37,25.57
1989,-999.0,-999.0
1990,29.7,39.21
1991,27.46,36.24
1992,22.87,30.18
1993,20.81,27.47
1994,21.67,28.6
1995,22.93,30.27
1996,21.45,28.31
1997,15.99,21.1
1998,22.58,29.8
1999,26.05,34.39
2000,23.14,30.55
2001,20.38,26.9
2002,19.45,25.67
2003,18.45,24.35
2004,23.26,30.7
2005,22.62,29.86
2006,23.44,30.94
2007,21.89,28.89
2008,19.05,25.15
2009,24.42,32.23
2010,26.13,34.49
2011,19.81,26.16
2012,20.71,27.34
2013,14.73,19.45
2014,19.74,26.06
2015,23.38,30.87
2016,25.53,33.7
2017,17.35,22.9
2018,16.48,21.75
