Year,Vmax10m,Vmax100m
1970,25.48,33.64
1971,21.04,27.77
1972,21.96,28.99
1973,24.61,32.48
1974,19.67,25.96
1975,23.48,30.99
1976,20.16,26.61
1977,20.46,27.01
1978,17.46,23.04
1979,25.57,33.75
1980,24.79,32.72
1981,22.49,29.69
1982,19.34,25.53
1983,26.49,34.97
1984,23.55,31.09
1985,18.91,24.96
1986,28.53,37.65
1987,21.43,28.29
1988,24.01,31.69
1989,-999.0,-999.0
1990,28.22,37.25
1991,28.48,37.6
1992,22.34,29.49
1993,32.73,43.21
1994,17.1,22.57
1995,23.7,31.29
1996,17.33,22.88
1997,-999.0,-999.0
1998,24.64,32.53
1999,26.82,35.4
2000,21.6,28.51
2001,23.76,31.36
2002,20.72,27.35
2003,30.9,40.79
2004,21.65,28.58
2005,22.33,29.47
2006,23.05,30.43
2007,25.15,33.2
2008,16.4,21.64
2009,24.22,31.97
2010,27.56,36.38
2011,17.47,23.06
2012,24.22,31.97
2013,26.08,34.43
2014,22.23,29.34
2015,29.41,38.83
2016,22.36,29.51
2017,21.62,28.54
2018,18.79,24.8
