Year,Vmax10m,Vmax100m
1970,22.3,29.44
1971,25.11,33.15
1972,16.13,21.29
1973,26.56,35.06
1974,22.17,29.27
1975,28.22,37.25
1976,22.14,29.23
1977,17.61,23.25
1978,26.54,35.03
1979,32.09,42.36
1980,22.99,30.35
1981,22.4,29.57
1982,18.31,24.17
1983,26.56,35.05
1984,25.06,33.08
1985,21.93,28.94
1986,24.57,32.43
1987,18.9,24.95
1988,21.25,28.05
1989,24.56,32.42
1990,17.75,23.43
1991,23.18,30.59
1992,19.08,25.18
1993,28.2,37.23
1994,18.15,23.95
1995,23.75,31.35
1996,19.05,25.15
1997,27.77,36.66
1998,18.23,24.06
1999,23.92,31.58
2000,21.28,28.09
2001,23.59,31.14
2002,19.72,26.03
2003,19.34,25.53
2004,19.56,25.82
2005,16.77,22.14
2006,16.77,22.14
2007,20.53,27.1
2008,25.65,33.85
2009,28.05,37.03
2010,18.13,23.93
2011,17.77,23.45
2012,29.5,38.94
2013,24.83,32.78
2014,-999.0,-999.0
2015,23.5,31.02
2016,23.38,30.86
2017,29.93,39.5
2018,31.67,41.8
