Year,Vmax10m,Vmax100m
1970,17.63,23.27
1971,23.5,31.02
1972,27.74,36.62
1973,25.43,33.57
1974,25.86,34.13
1975,28.9,38.15
1976,27.22,35.94
1977,22.88,30.2
1978,30.2,39.86
1979,21.04,27.77
1980,27.58,36.4
1981,23.52,31.05
1982,20.33,26.84
1983,22.72,29.99
1984,23.23,30.67
1985,29.72,39.23
1986,25.48,33.63
1987,21.19,27.97
1988,18.93,24.99
1989,29.64,39.12
1990,20.19,26.66
1991,29.58,39.04
1992,25.78,34.03
1993,28.81,38.03
1994,22.73,30.01
1995,27.84,36.75
1996,26.43,34.88
1997,24.43,32.25
1998,21.79,28.76
1999,23.77,31.38
2000,16.36,21.59
2001,24.6,32.47
2002,22.82,30.12
2003,33.07,43.65
2004,15.99,21.11
2005,16.54,21.84
2006,23.94,31.6
2007,23.43,30.93
2008,36.56,48.26
2009,24.25,32.01
2010,22.94,30.28
2011,19.78,26.12
2012,23.73,31.32
2013,31.54,41.63
2014,21.93,28.95
2015,22.88,30.21
2016,19.06,25.16
2017,30.09,39.72
2018,24.36,32.16
