Year,Vmax10m,Vmax100m
1970,24.99,32.99
1971,26.53,35.02
1972,28.37,37.45
1973,26.92,35.53
1974,24.49,32.33
1975,23.81,31.43
1976,23.31,30.77
1977,22.43,29.61
1978,26.78,35.35
1979,22.31,29.45
1980,29.54,39.0
1981,19.98,26.37
1982,30.54,40.32
1983,20.9,27.59
1984,27.88,36.8
1985,22.81,30.11
1986,28.15,37.16
1987,19.34,25.52
1988,20.95,27.66
1989,22.47,29.66
1990,23.3,30.76
1991,22.99,30.35
1992,24.14,31.86
1993,22.65,29.9
1994,24.58,32.45
1995,21.45,28.32
1996,24.42,32.24
1997,24.79,32.73
1998,21.04,27.77
1999,22.36,29.51
2000,16.96,22.38
2001,25.98,34.29
2002,22.36,29.52
2003,26.34,34.77
2004,-999.0,-999.0
2005,20.76,27.4
2006,20.1,26.53
2007,19.19,25.32
2008,24.32,32.1
2009,27.43,36.21
2010,23.31,30.78
2011,28.21,37.24
2012,29.1,38.41
2013,23.19,30.61
2014,38.14,50.34
2015,28.27,37.31
2016,24.26,32.02
2017,23.96,31.63
2018,21.51,28.39
