tyNum,Vmax10m,Vmax100m
7003,12.34,16.29
7004,18.59,24.54
7010,17.29,22.82
7011,16.33,21.56
7114,15.88,20.96
7115,18.62,24.58
7122,13.42,17.71
7204,20.02,26.43
7301,21.8,28.78
7304,19.55,25.8
7310,15.03,19.84
7315,20.07,26.5
7412,15.8,20.85
7419,10.43,13.76
7426,17.14,22.62
7503,15.18,20.04
7506,16.91,22.32
7511,21.84,28.83
7514,16.84,22.23
7613,12.38,16.34
7616,17.48,23.08
7701,19.01,25.09
7705,15.34,20.24
7707,14.4,19.01
7807,17.27,22.8
7811,14.41,19.02
7908,18.92,24.97
7907,20.71,27.33
8004,20.5,27.06
8006,19.87,26.23
8009,17.06,22.51
8015,22.57,29.79
8107,13.58,17.93
8116,21.85,28.84
8205,18.39,24.27
8209,15.49,20.44
8212,17.54,23.16
8304,18.48,24.4
8402,15.49,20.44
8408,16.65,21.98
8411,20.81,27.47
8504,17.39,22.95
8510,19.72,26.03
8516,14.01,18.5
8607,17.29,22.82
8616,23.73,31.33
8712,14.52,19.17
8719,13.87,18.31
8805,20.71,27.33
8817,19.67,25.97
8819,13.33,17.6
9003,13.59,17.94
9006,26.96,35.58
9009,17.01,22.46
9012,18.92,24.97
9018,17.99,23.75
9107,28.85,38.08
9110,13.52,17.85
9116,16.18,21.35
9119,23.89,31.53
9212,19.28,25.45
9215,18.25,24.09
9315,25.58,33.77
9406,14.29,18.86
9407,12.86,16.97
9413,18.37,24.24
9502,16.24,21.44
9504,23.96,31.62
9505,15.17,20.02
9509,22.27,29.39
9607,15.67,20.68
9610,18.37,24.25
9801,13.42,17.72
9810,20.98,27.7
9902,12.06,15.92
9903,25.13,33.17
9905,20.92,27.61
9908,15.46,20.4
9909,16.84,22.24
9910,14.09,18.6
9913,19.26,25.42
9914,20.38,26.9
0010,16.52,21.81
0013,16.9,22.31
0102,14.34,18.93
0104,16.76,22.13
0105,14.66,19.35
0116,20.3,26.8
0208,16.65,21.97
0212,18.81,24.83
0309,15.75,20.79
0313,19.25,25.41
0409,15.13,19.97
0411,19.31,25.49
0418,20.42,26.95
0428,14.77,19.49
0510,19.76,26.08
0513,17.14,22.62
0519,18.28,24.12
0601,19.02,25.1
0605,18.45,24.36
0609,18.04,23.82
0707,19.54,25.79
0708,14.11,18.62
0709,15.0,19.8
0806,13.81,18.23
0812,13.77,18.18
0903,19.64,25.93
0904,15.54,20.51
0906,18.89,24.94
1006,17.47,23.06
1008,12.21,16.12
1010,18.34,24.21
1011,24.65,32.54
1013,22.62,29.86
1103,14.63,19.32
1111,15.11,19.94
1205,15.13,19.97
1214,18.09,23.87
1308,17.58,23.2
1319,21.13,27.9
1407,18.75,24.75
1510,26.25,34.64
1513,13.95,18.41
1521,12.09,15.97
1601,16.38,21.62
1604,18.66,24.62
1608,14.41,19.03
1614,16.17,21.35
1617,16.45,21.71
1619,15.12,19.95
1622,17.81,23.5
1702,16.06,21.2
1707,15.47,20.42
1709,15.96,21.07
1713,11.94,15.76
1716,17.84,23.55
1717,11.96,15.79
1804,14.88,19.64
1806,14.99,19.79
