tyNum,Vmax10m,Vmax100m
7004,16.45,21.71
7010,22.75,30.03
7114,20.05,26.46
7115,17.46,23.05
7122,18.04,23.81
7123,30.35,40.06
7204,14.25,18.82
7207,21.15,27.92
7209,20.75,27.38
7301,17.42,23.0
7304,24.05,31.74
7310,16.25,21.45
7315,17.22,22.73
7410,16.0,21.12
7412,18.21,24.03
7413,17.29,22.82
7420,17.3,22.83
7503,20.47,27.02
7506,17.5,23.11
7513,11.28,14.89
7613,27.14,35.82
7701,14.68,19.38
7704,22.82,30.13
7705,21.78,28.75
7707,23.02,30.38
7803,11.25,14.85
7811,20.83,27.49
7815,15.21,20.08
8004,18.35,24.23
8012,25.05,33.06
8103,17.07,22.54
8104,21.54,28.43
8107,20.8,27.45
8108,18.39,24.28
8209,25.05,33.07
8211,10.74,14.17
8212,17.79,23.48
8403,22.23,29.34
8407,23.78,31.39
8506,16.05,21.19
8510,28.3,37.35
8519,17.43,23.01
8605,24.87,32.83
8616,16.03,21.16
8617,24.0,31.68
8705,16.46,21.73
8707,25.01,33.01
8712,17.74,23.42
8912,16.42,21.67
8918,17.17,22.67
8921,26.23,34.63
9003,13.83,18.25
9005,25.09,33.11
9006,18.58,24.53
9012,28.99,38.26
9015,12.43,16.41
9017,19.85,26.2
9018,16.18,21.35
9110,20.9,27.59
9215,23.01,30.37
9216,27.07,35.73
9219,26.5,34.99
9406,22.14,29.23
9413,17.24,22.75
9414,22.24,29.36
9417,15.6,20.59
9418,28.82,38.04
9430,13.88,18.33
9607,19.56,25.82
9608,29.15,38.47
9610,14.94,19.73
9711,14.46,19.08
9714,27.39,36.16
9801,13.83,18.25
9802,18.22,24.05
9808,15.2,20.06
9810,16.02,21.14
9905,18.07,23.85
9914,16.7,22.05
0004,23.01,30.37
0010,17.62,23.26
0020,18.42,24.32
0102,23.74,31.34
0105,16.79,22.17
0108,22.9,30.23
0116,16.66,22.0
0119,17.77,23.46
0208,20.09,26.52
0216,21.06,27.8
0309,16.35,21.59
0311,20.37,26.88
0407,21.54,28.44
0414,10.25,13.54
0418,25.79,34.04
0421,17.46,23.04
0425,21.95,28.97
0505,25.97,34.27
0509,14.55,19.2
0513,20.93,27.63
0519,18.07,23.85
0601,12.02,15.86
0604,27.79,36.68
0605,13.67,18.05
0608,18.15,23.96
0708,14.25,18.82
0709,19.5,25.74
0713,20.35,26.87
0716,24.72,32.63
0807,21.32,28.15
0808,24.63,32.52
0813,26.24,34.64
0815,22.39,29.55
0903,18.63,24.59
0908,26.45,34.91
1008,16.41,21.66
1010,21.74,28.69
1011,16.7,22.05
1013,14.13,18.65
1111,16.9,22.3
1205,18.01,23.77
1209,24.43,32.24
1307,24.45,32.28
1312,28.67,37.84
1315,17.1,22.57
1323,22.99,30.35
1407,14.41,19.02
1410,23.68,31.26
1416,20.05,26.47
1513,24.75,32.67
1521,24.87,32.83
1601,18.21,24.04
1614,15.09,19.91
1616,12.41,16.38
1617,20.84,27.51
1709,26.6,35.11
1710,18.0,23.76
1808,32.3,42.64
