tyNum,Vmax10m,Vmax100m
7003,20.82,27.48
7004,21.67,28.6
7005,14.2,18.75
7010,16.42,21.68
7011,21.62,28.54
7012,16.55,21.84
7108,18.3,24.15
7114,22.05,29.1
7118,16.93,22.34
7122,14.08,18.59
7204,22.42,29.6
7301,21.32,28.14
7304,21.38,28.22
7310,16.74,22.09
7315,13.26,17.5
7417,14.07,18.57
7419,15.05,19.87
7424,14.86,19.62
7426,20.11,26.55
7427,15.63,20.64
7506,17.14,22.62
7511,22.01,29.06
7514,25.63,33.83
7607,15.52,20.49
7616,21.57,28.48
7701,16.7,22.04
7705,15.99,21.1
7707,13.51,17.84
7801,16.82,22.21
7807,21.5,28.38
7905,22.99,30.34
7908,30.99,40.9
7907,21.3,28.12
7913,16.63,21.95
8004,23.04,30.41
8006,24.06,31.76
8009,20.28,26.76
8015,17.56,23.18
8111,15.94,21.05
8116,22.5,29.7
8205,17.88,23.6
8212,19.03,25.11
8304,12.4,16.37
8309,18.55,24.49
8402,22.45,29.64
8408,20.2,26.67
8411,21.25,28.05
8504,24.42,32.23
8516,13.03,17.19
8604,15.52,20.48
8607,26.87,35.47
8616,27.59,36.42
8625,13.48,17.79
8719,14.42,19.04
8805,26.39,34.83
8817,24.19,31.93
8819,17.79,23.48
8903,13.78,18.19
8908,14.57,19.23
8926,15.74,20.77
9003,15.08,19.91
9006,21.56,28.46
9009,29.29,38.66
9012,15.52,20.49
9018,18.71,24.69
9107,26.38,34.82
9108,20.74,27.37
9116,23.72,31.31
9119,22.05,29.1
9206,16.32,21.54
9212,18.45,24.35
9215,19.65,25.94
9315,30.13,39.78
9316,19.28,25.45
9403,14.47,19.1
9407,17.67,23.33
9413,16.49,21.77
9424,16.06,21.2
9502,16.17,21.34
9504,20.98,27.69
9505,21.34,28.16
9509,31.88,42.08
9610,22.68,29.94
9615,14.76,19.48
9710,19.05,25.15
9801,10.96,14.47
9810,24.61,32.49
9902,17.99,23.75
9903,21.98,29.01
9905,19.39,25.6
9908,21.74,28.7
9909,15.76,20.8
9910,20.22,26.69
9913,17.7,23.36
9914,18.16,23.97
0013,21.77,28.73
0021,15.9,20.99
0104,24.08,31.78
0107,18.51,24.44
0116,22.35,29.5
0204,14.78,19.51
0208,18.24,24.07
0212,24.02,31.71
0218,16.05,21.19
0309,19.66,25.95
0313,29.28,38.64
0409,19.39,25.6
0411,15.23,20.11
0418,19.62,25.9
0510,21.45,28.32
0518,16.08,21.22
0519,16.41,21.66
0601,28.76,37.96
0605,18.24,24.08
0609,15.95,21.05
0707,22.35,29.5
0806,18.97,25.04
0809,21.33,28.15
0812,21.19,27.97
0814,18.21,24.04
0903,17.81,23.51
0904,20.33,26.83
0906,25.63,33.84
0915,14.74,19.46
1006,21.96,28.99
1010,14.66,19.35
1011,19.86,26.21
1013,18.65,24.62
1103,23.16,30.57
1205,21.73,28.68
1206,20.4,26.93
1208,15.95,21.05
1214,21.09,27.85
1308,18.66,24.64
1319,29.0,38.28
1407,21.02,27.74
1510,28.86,38.1
1604,24.64,32.52
1608,17.75,23.43
1614,9.33,12.32
1617,16.26,21.46
1619,19.54,25.79
1622,25.11,33.15
1702,19.65,25.94
1707,14.53,19.19
1713,21.21,27.99
1714,21.61,28.53
1716,20.15,26.6
1804,16.44,21.7
1806,17.47,23.06
1822,9.26,12.22
1823,16.36,21.59
1826,16.98,22.41
