tyNum,Vmax10m,Vmax100m
7003,16.64,21.97
7004,17.38,22.94
7005,17.5,23.1
7011,21.73,28.69
7012,15.46,20.41
7013,17.12,22.6
7108,18.58,24.53
7109,17.0,22.44
7114,26.12,34.48
7118,20.5,27.06
7125,17.54,23.15
7202,19.27,25.43
7210,16.62,21.94
7220,24.75,32.67
7304,19.28,25.45
7307,24.7,32.6
7310,15.96,21.07
7311,17.41,22.98
7312,13.78,18.19
7313,22.27,29.4
7314,10.45,13.79
7405,19.67,25.97
7406,18.61,24.56
7411,26.59,35.1
7419,24.69,32.59
7421,14.99,19.79
7422,21.72,28.67
7424,17.43,23.01
7427,18.83,24.86
7506,22.14,29.23
7513,27.05,35.7
7514,22.56,29.78
7515,26.52,35.01
7610,27.78,36.67
7614,23.2,30.63
7616,16.94,22.36
7619,25.06,33.07
7702,19.67,25.96
7712,20.83,27.49
7807,30.17,39.83
7812,30.12,39.76
7818,20.15,26.6
7820,20.66,27.28
7905,21.29,28.1
7908,22.88,30.21
7907,19.62,25.9
7913,16.48,21.75
8008,14.45,19.07
8007,23.59,31.14
8011,17.24,22.75
8014,20.51,27.07
8106,23.44,30.95
8107,17.64,23.29
8205,20.63,27.23
8208,18.87,24.91
8217,17.15,22.64
8302,19.71,26.02
8303,13.48,17.79
8309,19.89,26.25
8311,18.2,24.03
8314,20.27,26.76
8402,29.16,38.49
8404,23.51,31.03
8408,20.26,26.75
8410,16.72,22.07
8515,26.99,35.62
8517,19.7,26.01
8604,23.67,31.25
8607,17.15,22.64
8609,16.78,22.15
8616,17.59,23.21
8621,24.64,32.53
8625,18.08,23.86
8702,20.54,27.12
8721,17.05,22.51
8804,20.59,27.18
8819,17.31,22.86
8903,27.08,35.74
8907,18.21,24.04
8908,31.8,41.98
9004,18.6,24.55
9018,13.88,18.32
9108,21.16,27.93
9111,25.86,34.13
9116,15.62,20.62
9206,19.47,25.7
9207,22.45,29.63
9215,16.87,22.26
9302,30.12,39.76
9309,24.89,32.85
9316,19.68,25.97
9318,26.9,35.5
9323,17.95,23.69
9403,18.91,24.97
9404,18.62,24.58
9405,18.86,24.89
9411,13.82,18.24
9419,21.28,28.09
9424,15.37,20.28
9505,13.89,18.34
9506,16.91,22.32
9509,12.81,16.91
9511,18.12,23.92
9515,21.74,28.7
9516,13.69,18.06
9615,27.5,36.29
9618,18.33,24.2
9710,19.16,25.29
9713,21.19,27.97
9803,22.39,29.55
9902,15.55,20.52
9903,23.68,31.26
9905,18.07,23.85
9908,17.28,22.8
9910,21.54,28.44
9913,15.89,20.98
0103,21.57,28.47
0104,19.44,25.66
0107,25.47,33.63
0114,18.46,24.36
0212,14.94,19.72
0214,19.83,26.18
0218,23.58,31.13
0307,33.9,44.75
0312,19.22,25.37
0313,18.81,24.83
0409,14.85,19.6
0418,16.72,22.08
0518,13.86,18.29
0602,16.88,22.29
0606,27.49,36.28
0609,14.19,18.73
0707,22.71,29.97
0714,18.79,24.8
0801,21.82,28.8
0806,17.16,22.65
0809,25.08,33.1
0812,16.99,22.43
0814,27.89,36.81
0817,15.3,20.2
0904,16.19,21.37
0905,18.91,24.95
0906,19.46,25.68
0907,23.78,31.39
0913,18.35,24.22
0915,25.86,34.14
1003,24.32,32.1
1006,15.3,20.19
1011,13.19,17.4
1104,19.53,25.78
1108,16.75,22.11
1117,17.94,23.69
1205,19.69,25.99
1206,17.56,23.18
1208,24.36,32.16
1213,24.42,32.24
1305,18.42,24.31
1306,19.73,26.04
1309,18.5,24.43
1311,26.67,35.21
1319,13.04,17.21
1329,16.41,21.66
1409,11.22,14.81
1415,19.28,25.44
1510,17.91,23.64
1522,22.84,30.15
1604,16.41,21.66
1608,20.65,27.26
1702,17.32,22.86
1707,14.33,18.91
1713,29.03,38.31
1714,21.36,28.19
1720,23.58,31.13
1804,20.07,26.5
1809,18.09,23.88
1816,23.41,30.9
1822,25.09,33.12
1823,19.57,25.84
