tyNum,Vmax10m,Vmax100m
7005,11.58,15.29
7013,24.99,32.99
7102,14.42,19.04
7106,18.4,24.29
7109,26.53,35.02
7113,17.0,22.44
7114,18.22,24.06
7125,18.37,24.25
7126,16.18,21.35
7202,20.89,27.58
7210,26.01,34.33
7220,28.37,37.45
7307,26.92,35.53
7310,19.4,25.61
7311,26.65,35.17
7312,14.64,19.32
7313,22.21,29.32
7314,20.37,26.89
7318,17.67,23.32
7405,18.91,24.97
7406,24.49,32.33
7411,24.29,32.06
7419,22.74,30.02
7421,17.41,22.99
7422,16.1,21.25
7423,19.57,25.83
7424,13.32,17.58
7427,19.02,25.11
7506,19.62,25.9
7510,23.68,31.26
7513,22.01,29.06
7514,12.01,15.85
7515,23.81,31.43
7610,21.92,28.94
7614,17.52,23.13
7619,23.31,30.77
7702,18.16,23.97
7703,22.43,29.61
7709,12.36,16.32
7712,22.31,29.45
7807,22.81,30.11
7809,15.29,20.19
7812,26.78,35.35
7817,12.27,16.2
7818,25.77,34.02
7820,19.55,25.81
7905,21.79,28.77
7908,22.31,29.45
7914,17.66,23.31
8005,20.74,27.38
8008,19.88,26.25
8007,29.54,39.0
8011,16.79,22.16
8014,22.99,30.35
8103,13.94,18.4
8105,16.88,22.29
8106,18.0,23.76
8107,17.84,23.55
8111,17.99,23.75
8113,19.98,26.37
8120,17.1,22.58
8205,17.94,23.68
8208,19.92,26.3
8217,30.54,40.32
8302,17.93,23.66
8303,20.37,26.89
8311,20.9,27.59
8314,16.9,22.31
8402,22.34,29.49
8404,19.08,25.18
8408,17.02,22.47
8410,27.88,36.8
8503,15.62,20.61
8515,17.57,23.2
8517,22.81,30.11
8518,18.34,24.21
8521,14.17,18.7
8604,18.15,23.95
8609,17.44,23.03
8613,18.9,24.95
8616,28.15,37.16
8621,19.21,25.36
8625,13.11,17.31
8702,19.34,25.52
8721,12.28,16.22
8804,20.95,27.66
8823,19.43,25.64
8824,19.08,25.19
8903,18.42,24.31
8905,19.63,25.92
8907,22.07,29.13
8908,22.47,29.66
8926,14.44,19.06
8929,11.81,15.59
9004,23.3,30.76
9025,17.18,22.68
9103,15.63,20.63
9106,19.3,25.47
9108,15.92,21.02
9111,22.99,30.35
9204,18.21,24.04
9205,20.41,26.93
9207,24.14,31.86
9215,15.7,20.72
9302,22.65,29.9
9303,14.39,19.0
9309,22.11,29.18
9316,18.21,24.03
9318,19.76,26.09
9323,18.06,23.84
9403,20.44,26.99
9404,15.81,20.87
9405,20.43,26.97
9411,18.62,24.57
9419,24.58,32.45
9422,23.7,31.29
9424,23.08,30.46
9506,17.26,22.79
9508,18.57,24.52
9511,19.46,25.69
9515,21.45,28.32
9516,18.02,23.78
9521,15.05,19.86
9606,19.93,26.31
9612,15.68,20.7
9615,24.42,32.24
9618,24.29,32.06
9713,24.79,32.73
9803,21.04,27.77
9903,22.36,29.51
0016,16.96,22.38
0103,25.98,34.29
0107,20.32,26.82
0114,18.62,24.57
0214,22.36,29.52
0218,19.3,25.48
0220,16.87,22.27
0308,19.57,25.83
0307,25.33,33.43
0312,26.34,34.77
0313,13.9,18.35
0320,17.75,23.43
0508,20.76,27.4
0518,16.73,22.09
0602,15.62,20.62
0605,15.07,19.89
0606,20.1,26.53
0703,18.59,24.54
0707,19.19,25.32
0714,18.96,25.03
0801,20.56,27.14
0809,21.07,27.81
0814,24.32,32.1
0817,15.0,19.8
0905,14.24,18.8
0907,27.43,36.21
0913,18.95,25.01
0915,16.74,22.1
0917,19.43,25.64
1002,16.16,21.33
1003,23.31,30.78
1104,20.91,27.6
1108,21.89,28.9
1117,28.21,37.24
1119,21.48,28.35
1205,17.57,23.19
1206,12.67,16.72
1208,18.64,24.61
1213,29.1,38.41
1305,21.27,28.07
1306,23.19,30.61
1309,20.2,26.67
1311,19.42,25.64
1409,38.14,50.34
1415,25.05,33.06
1508,19.38,25.58
1522,28.27,37.31
1603,20.0,26.4
1608,24.26,32.02
1621,20.74,27.38
1713,19.63,25.92
1714,15.14,19.99
1720,23.96,31.63
1804,19.21,25.36
1809,20.66,27.28
1816,21.51,28.39
1822,15.3,20.19
1823,21.48,28.36
