Year,Vmax10m,Vmax100m
1970,19.0,25.08
1971,21.38,28.23
1972,20.31,26.81
1973,24.04,31.74
1974,25.86,34.14
1975,28.61,37.76
1976,25.32,33.42
1977,19.21,25.36
1978,26.2,34.58
1979,23.14,30.55
1980,17.26,22.79
1981,21.11,27.86
1982,19.63,25.91
1983,24.36,32.15
1984,27.72,36.59
1985,24.07,31.77
1986,22.51,29.72
1987,21.81,28.79
1988,17.74,23.42
1989,24.06,31.75
1990,19.87,26.23
1991,23.6,31.15
1992,20.36,26.88
1993,28.72,37.91
1994,19.74,26.06
1995,22.02,29.07
1996,23.37,30.85
1997,20.41,26.94
1998,22.86,30.17
1999,23.43,30.93
2000,-999.0,-999.0
2001,26.8,35.37
2002,23.05,30.42
2003,24.03,31.72
2004,24.74,32.65
2005,-999.0,-999.0
2006,23.36,30.83
2007,23.98,31.65
2008,23.3,30.76
2009,24.0,31.68
2010,20.91,27.6
2011,19.82,26.16
2012,28.96,38.23
2013,30.36,40.07
2014,15.48,20.43
2015,19.19,25.33
2016,20.26,26.74
2017,25.3,33.39
2018,25.57,33.76
