Year,Vmax10m,Vmax100m
1970,19.56,25.82
1971,23.22,30.65
1972,27.84,36.75
1973,20.68,27.3
1974,19.25,25.4
1975,18.41,24.31
1976,21.43,28.28
1977,20.44,26.98
1978,21.88,28.88
1979,-999.0,-999.0
1980,20.89,27.57
1981,20.65,27.26
1982,20.34,26.85
1983,-999.0,-999.0
1984,23.63,31.19
1985,24.94,32.92
1986,22.34,29.49
1987,28.39,37.47
1988,-999.0,-999.0
1989,26.06,34.39
1990,23.41,30.9
1991,19.03,25.12
1992,21.77,28.73
1993,-999.0,-999.0
1994,23.31,30.77
1995,18.02,23.78
1996,22.93,30.26
1997,22.26,29.38
1998,22.52,29.73
1999,14.2,18.74
2000,25.13,33.18
2001,22.73,30.01
2002,29.63,39.11
2003,23.34,30.81
2004,22.24,29.35
2005,23.83,31.45
2006,30.57,40.35
2007,32.23,42.55
2008,23.49,31.0
2009,25.92,34.21
2010,19.54,25.8
2011,17.18,22.68
2012,22.19,29.29
2013,26.86,35.45
2014,21.39,28.24
2015,19.67,25.97
2016,15.85,20.92
2017,21.21,28.0
2018,25.94,34.24
