Year,Vmax10m,Vmax100m
1970,22.75,30.03
1971,30.35,40.06
1972,21.15,27.92
1973,24.05,31.74
1974,18.21,24.03
1975,20.47,27.02
1976,27.14,35.82
1977,23.02,30.38
1978,20.83,27.49
1979,-999.0,-999.0
1980,25.05,33.06
1981,21.54,28.43
1982,25.05,33.07
1983,-999.0,-999.0
1984,23.78,31.39
1985,28.3,37.35
1986,24.87,32.83
1987,25.01,33.01
1988,-999.0,-999.0
1989,26.23,34.63
1990,28.99,38.26
1991,20.9,27.59
1992,27.07,35.73
1993,-999.0,-999.0
1994,28.82,38.04
1995,-999.0,-999.0
1996,29.15,38.47
1997,27.39,36.16
1998,18.22,24.05
1999,18.07,23.85
2000,23.01,30.37
2001,23.74,31.34
2002,21.06,27.8
2003,20.37,26.88
2004,25.79,34.04
2005,25.97,34.27
2006,27.79,36.68
2007,24.72,32.63
2008,26.24,34.64
2009,26.45,34.91
2010,21.74,28.69
2011,16.9,22.3
2012,24.43,32.24
2013,28.67,37.84
2014,23.68,31.26
2015,24.87,32.83
2016,20.84,27.51
2017,26.6,35.11
2018,32.3,42.64
