Year,Vmax10m,Vmax100m
1970,21.38,28.22
1971,24.11,31.82
1972,22.26,29.38
1973,22.16,29.25
1974,20.07,26.49
1975,25.48,33.63
1976,26.97,35.61
1977,26.78,35.35
1978,22.27,29.4
1979,18.9,24.95
1980,20.31,26.81
1981,21.65,28.58
1982,27.22,35.93
1983,17.52,23.13
1984,19.99,26.39
1985,20.28,26.77
1986,28.42,37.51
1987,23.46,30.97
1988,17.12,22.6
1989,25.8,34.05
1990,27.11,35.79
1991,20.56,27.13
1992,24.44,32.26
1993,13.16,17.38
1994,24.45,32.27
1995,21.03,27.76
1996,27.19,35.89
1997,24.17,31.9
1998,22.49,29.68
1999,21.96,28.99
2000,30.95,40.85
2001,25.03,33.04
2002,22.1,29.18
2003,20.1,26.54
2004,27.62,36.45
2005,27.61,36.45
2006,27.43,36.2
2007,29.1,38.41
2008,25.92,34.22
2009,22.5,29.7
2010,28.25,37.28
2011,21.82,28.8
2012,18.22,24.06
2013,20.76,27.4
2014,24.9,32.86
2015,25.96,34.27
2016,24.16,31.89
2017,23.39,30.88
2018,20.27,26.75
