Year,Vmax10m,Vmax100m
1970,20.25,26.73
1971,22.26,29.38
1972,22.66,29.92
1973,24.87,32.83
1974,19.91,26.28
1975,23.59,31.14
1976,19.74,26.05
1977,19.93,26.3
1978,19.62,25.9
1979,25.51,33.68
1980,30.6,40.39
1981,18.22,24.05
1982,19.51,25.75
1983,29.73,39.24
1984,21.68,28.61
1985,19.57,25.83
1986,30.29,39.99
1987,19.8,26.14
1988,22.67,29.92
1989,-999.0,-999.0
1990,27.89,36.81
1991,34.41,45.42
1992,22.57,29.79
1993,27.54,36.35
1994,18.18,23.99
1995,26.48,34.95
1996,20.67,27.28
1997,-999.0,-999.0
1998,26.89,35.49
1999,27.64,36.49
2000,19.27,25.44
2001,22.48,29.67
2002,19.79,26.13
2003,23.32,30.79
2004,23.43,30.93
2005,25.03,33.03
2006,25.3,33.39
2007,20.84,27.51
2008,18.06,23.84
2009,23.32,30.78
2010,28.49,37.6
2011,23.87,31.51
2012,26.08,34.43
2013,23.84,31.47
2014,22.02,29.07
2015,31.67,41.8
2016,19.68,25.98
2017,18.84,24.87
2018,18.2,24.02
