Year,Vmax10m,Vmax100m
1970,22.1,29.18
1971,29.22,38.57
1972,22.89,30.22
1973,20.94,27.63
1974,20.78,27.43
1975,28.28,37.33
1976,24.72,32.63
1977,20.01,26.42
1978,20.74,27.37
1979,37.97,50.12
1980,22.17,29.27
1981,26.03,34.36
1982,18.97,25.03
1983,20.42,26.95
1984,25.96,34.27
1985,27.76,36.64
1986,25.01,33.01
1987,15.31,20.22
1988,23.48,31.0
1989,16.4,21.65
1990,28.67,37.84
1991,24.76,32.68
1992,19.46,25.69
1993,28.43,37.52
1994,16.64,21.97
1995,33.6,44.36
1996,18.51,24.44
1997,11.94,15.76
1998,25.85,34.12
1999,23.72,31.31
2000,23.36,30.83
2001,30.01,39.62
2002,23.11,30.5
2003,20.72,27.36
2004,20.97,27.68
2005,25.15,33.2
2006,27.65,36.5
2007,22.97,30.32
2008,22.47,29.66
2009,28.18,37.19
2010,20.13,26.57
2011,15.44,20.37
2012,24.34,32.13
2013,35.31,46.61
2014,21.65,28.58
2015,26.49,34.97
2016,29.99,39.59
2017,24.25,32.02
2018,18.91,24.96
