Year,Vmax10m,Vmax100m
1970,21.73,28.69
1971,26.12,34.48
1972,24.75,32.67
1973,24.7,32.6
1974,26.59,35.1
1975,27.05,35.7
1976,27.78,36.67
1977,20.83,27.49
1978,30.17,39.83
1979,22.88,30.21
1980,23.59,31.14
1981,23.44,30.95
1982,20.63,27.23
1983,20.27,26.76
1984,29.16,38.49
1985,26.99,35.62
1986,24.64,32.53
1987,20.54,27.12
1988,20.59,27.18
1989,31.8,41.98
1990,18.6,24.55
1991,25.86,34.13
1992,22.45,29.63
1993,30.12,39.76
1994,21.28,28.09
1995,21.74,28.7
1996,27.5,36.29
1997,21.19,27.97
1998,22.39,29.55
1999,23.68,31.26
2000,-999.0,-999.0
2001,25.47,33.63
2002,23.58,31.13
2003,33.9,44.75
2004,16.72,22.08
2005,13.86,18.29
2006,27.49,36.28
2007,22.71,29.97
2008,27.89,36.81
2009,25.86,34.14
2010,24.32,32.1
2011,19.53,25.78
2012,24.42,32.24
2013,26.67,35.21
2014,19.28,25.44
2015,22.84,30.15
2016,20.65,27.26
2017,29.03,38.31
2018,25.09,33.12
