tyNum,Vmax10m,Vmax100m
7004,14.8,19.54
7010,19.65,25.94
7114,16.71,22.06
7115,19.41,25.62
7122,17.14,22.62
7123,27.29,36.03
7204,16.31,21.53
7207,14.75,19.47
7209,15.55,20.53
7301,19.74,26.05
7304,22.04,29.1
7310,15.54,20.52
7315,16.78,22.15
7410,11.77,15.54
7412,16.85,22.24
7413,20.86,27.53
7420,15.54,20.52
7503,19.96,26.35
7506,15.89,20.97
7513,13.38,17.66
7613,28.07,37.06
7701,18.47,24.38
7704,15.86,20.93
7705,23.97,31.65
7707,19.93,26.3
7803,14.13,18.65
7811,19.94,26.33
8004,16.61,21.92
8012,22.2,29.31
8103,13.96,18.42
8104,19.45,25.68
8107,17.41,22.98
8108,15.13,19.98
8209,23.63,31.2
8212,16.03,21.16
8304,13.89,18.34
8403,17.68,23.33
8407,20.15,26.6
8510,24.89,32.86
8519,14.04,18.54
8605,21.03,27.76
8616,17.09,22.56
8617,20.42,26.96
8705,16.92,22.34
8707,20.94,27.65
8712,19.7,26.0
8912,13.39,17.68
8918,15.35,20.27
8921,20.38,26.9
9003,13.72,18.11
9005,22.66,29.91
9006,17.49,23.09
9012,23.76,31.36
9017,17.54,23.15
9018,14.69,19.4
9110,19.57,25.83
9215,17.84,23.55
9216,21.92,28.93
9219,18.0,23.76
9406,21.48,28.36
9407,14.62,19.29
9413,17.68,23.34
9414,17.69,23.36
9417,10.85,14.32
9418,17.13,22.61
9502,16.89,22.29
9607,18.4,24.29
9608,18.97,25.04
9610,13.02,17.18
9714,21.29,28.11
9801,13.98,18.45
9802,18.24,24.08
9808,13.27,17.51
9810,14.71,19.42
9905,18.73,24.72
9914,20.18,26.64
0004,17.0,22.43
0010,18.44,24.34
0020,19.03,25.11
0102,26.13,34.49
0105,15.3,20.2
0108,22.2,29.31
0116,16.3,21.52
0119,16.58,21.89
0208,16.83,22.22
0216,13.66,18.03
0309,15.35,20.27
0311,15.54,20.51
0407,18.9,24.95
0418,26.88,35.48
0421,14.82,19.56
0425,18.9,24.95
0505,22.44,29.62
0513,23.87,31.51
0519,18.22,24.05
0601,18.4,24.29
0604,24.72,32.63
0605,16.22,21.41
0608,15.68,20.7
0708,15.46,20.4
0709,20.45,27.0
0713,16.09,21.24
0716,24.46,32.29
0807,19.75,26.07
0808,25.23,33.31
0813,21.16,27.93
0815,18.3,24.16
0903,18.39,24.28
0908,24.08,31.79
1006,13.63,17.99
1008,17.45,23.03
1010,18.69,24.67
1011,16.35,21.59
1013,15.21,20.07
1111,16.47,21.73
1205,17.91,23.64
1209,20.57,27.15
1307,20.08,26.5
1308,11.73,15.49
1312,21.76,28.72
1315,16.74,22.1
1323,14.53,19.18
1407,14.24,18.79
1410,21.01,27.74
1416,17.19,22.7
1513,23.21,30.64
1521,23.74,31.33
1601,16.96,22.39
1614,15.92,21.02
1616,7.89,10.42
1617,22.11,29.19
1709,21.38,28.23
1710,17.01,22.46
1808,19.17,25.3
