tyNum,Vmax10m,Vmax100m
7004,16.35,21.59
7010,19.56,25.82
7114,16.87,22.26
7115,13.2,17.43
7122,17.94,23.69
7123,23.22,30.65
7207,22.76,30.04
7209,27.84,36.75
7301,20.68,27.3
7304,17.61,23.24
7310,16.66,21.99
7410,18.13,23.94
7412,15.89,20.98
7413,19.25,25.4
7420,16.82,22.2
7503,16.59,21.89
7504,18.41,24.31
7506,15.74,20.78
7513,8.78,11.59
7613,21.43,28.28
7701,15.34,20.24
7704,20.44,26.98
7705,17.77,23.46
7707,20.17,26.62
7803,14.5,19.14
7811,21.88,28.88
8004,16.42,21.67
8012,20.89,27.57
8103,17.18,22.67
8104,20.65,27.26
8107,20.5,27.06
8108,18.31,24.17
8209,20.34,26.85
8211,12.21,16.12
8403,23.63,31.19
8407,18.83,24.85
8506,20.85,27.52
8510,24.94,32.92
8519,17.3,22.84
8605,16.67,22.0
8616,17.17,22.67
8617,22.34,29.49
8705,18.77,24.78
8707,28.39,37.47
8909,16.63,21.95
8912,15.12,19.96
8918,14.86,19.62
8921,26.06,34.39
8923,19.25,25.41
9003,12.67,16.72
9005,21.52,28.41
9006,17.78,23.46
9012,23.41,30.9
9015,17.67,23.32
9017,16.17,21.35
9110,19.03,25.12
9215,15.83,20.9
9216,21.77,28.73
9219,19.69,25.99
9406,20.11,26.54
9414,23.31,30.77
9417,20.16,26.61
9418,21.09,27.84
9430,16.17,21.34
9507,18.02,23.78
9608,22.93,30.26
9610,14.87,19.62
9711,18.96,25.02
9714,22.26,29.38
9801,12.99,17.15
9802,18.65,24.61
9808,17.23,22.74
9809,22.52,29.73
9905,14.2,18.74
9914,13.19,17.41
0004,25.13,33.18
0020,11.79,15.57
0102,21.87,28.87
0105,11.76,15.53
0108,22.73,30.01
0116,15.87,20.95
0119,16.23,21.42
0208,17.99,23.75
0216,29.63,39.11
0311,23.34,30.81
0407,22.24,29.35
0414,17.87,23.59
0418,20.45,26.99
0421,17.4,22.97
0425,20.93,27.63
0505,23.83,31.45
0509,19.06,25.16
0513,18.43,24.32
0515,22.73,30.0
0601,19.48,25.71
0604,26.07,34.41
0608,30.57,40.35
0709,16.88,22.29
0713,32.23,42.55
0716,27.0,35.64
0807,20.78,27.42
0808,20.31,26.81
0813,23.49,31.0
0815,20.1,26.54
0903,17.17,22.66
0908,25.92,34.21
1008,18.12,23.92
1010,19.54,25.8
1111,17.18,22.68
1205,15.36,20.28
1209,22.19,29.29
1307,21.91,28.92
1312,22.08,29.15
1315,21.5,28.38
1323,26.86,35.45
1407,17.4,22.97
1410,18.51,24.43
1416,21.39,28.24
1513,19.67,25.97
1521,19.17,25.31
1601,15.85,20.92
1616,14.17,18.7
1709,21.21,28.0
1710,17.02,22.46
1808,25.94,34.24
1814,13.66,18.03
