tyNum,Vmax10m,Vmax100m
7004,16.85,22.24
7010,21.38,28.22
7114,18.87,24.9
7115,24.11,31.82
7122,19.59,25.86
7123,17.98,23.73
7204,22.26,29.38
7301,19.81,26.15
7304,14.3,18.88
7310,17.76,23.44
7315,22.16,29.25
7410,16.41,21.66
7412,20.07,26.49
7420,16.42,21.67
7503,25.48,33.63
7506,17.96,23.71
7511,21.59,28.5
7613,26.97,35.61
7701,19.88,26.24
7704,22.35,29.51
7705,26.78,35.35
7707,21.09,27.84
7803,17.26,22.78
7811,22.27,29.4
7815,13.32,17.58
7908,12.73,16.8
7907,18.9,24.95
8004,16.83,22.22
8012,20.31,26.81
8015,20.08,26.5
8103,17.94,23.68
8104,19.36,25.55
8107,21.65,28.58
8205,10.56,13.95
8209,27.22,35.93
8212,21.05,27.78
8304,17.52,23.13
8402,13.36,17.64
8403,18.95,25.01
8407,19.99,26.39
8510,20.28,26.77
8516,12.7,16.77
8605,15.74,20.78
8616,28.42,37.51
8617,22.71,29.98
8705,19.77,26.1
8707,18.6,24.55
8712,23.46,30.97
8802,17.12,22.6
8912,15.52,20.48
8921,25.8,34.05
9003,24.3,32.07
9005,21.58,28.48
9006,20.59,27.18
9012,23.17,30.59
9017,15.37,20.29
9018,27.11,35.79
9107,16.9,22.31
9110,20.56,27.13
9119,18.41,24.3
9212,18.15,23.96
9215,22.97,30.32
9216,24.44,32.26
9219,15.62,20.61
9315,13.16,17.38
9406,24.45,32.27
9407,12.81,16.91
9413,19.54,25.8
9414,13.34,17.61
9418,23.35,30.82
9502,15.24,20.12
9504,21.03,27.76
9607,27.19,35.89
9608,23.1,30.49
9610,17.36,22.92
9714,24.17,31.9
9801,16.42,21.67
9802,22.49,29.68
9808,18.34,24.21
9809,12.07,15.93
9810,19.88,26.24
9903,19.09,25.2
9905,20.43,26.96
9914,21.96,28.99
0004,20.05,26.46
0010,30.95,40.85
0020,18.99,25.06
0102,25.03,33.04
0105,17.07,22.54
0108,20.77,27.41
0116,19.65,25.94
0119,21.03,27.76
0208,22.1,29.18
0309,20.1,26.54
0407,18.66,24.63
0418,27.62,36.45
0421,15.27,20.15
0425,11.49,15.17
0428,16.79,22.16
0505,22.82,30.12
0513,27.61,36.45
0519,27.33,36.08
0601,16.63,21.95
0604,21.97,29.0
0605,27.43,36.2
0609,18.0,23.75
0707,20.75,27.39
0708,16.23,21.43
0709,29.1,38.41
0713,15.34,20.25
0716,18.65,24.61
0807,19.59,25.86
0808,25.92,34.22
0813,20.67,27.28
0815,19.18,25.31
0903,22.5,29.7
0908,19.64,25.93
1006,20.1,26.53
1008,18.82,24.85
1010,26.47,34.94
1011,28.25,37.28
1013,19.65,25.94
1111,21.82,28.8
1205,18.22,24.06
1209,14.67,19.37
1214,17.21,22.71
1307,20.26,26.74
1308,18.65,24.61
1312,20.76,27.4
1407,14.91,19.69
1410,24.9,32.86
1416,16.79,22.17
1510,16.18,21.36
1513,25.64,33.84
1521,25.96,34.27
1601,21.81,28.79
1614,24.16,31.89
1617,22.78,30.08
1709,23.39,30.88
1710,22.3,29.43
1717,15.28,20.17
1806,20.27,26.75
1808,15.28,20.17
