tyNum,Vmax10m,Vmax100m
7004,24.45,32.27
7010,17.57,23.19
7011,13.72,18.11
7114,17.57,23.19
7115,22.28,29.4
7122,19.18,25.32
7204,23.43,30.92
7301,21.69,28.63
7304,19.12,25.24
7310,15.74,20.78
7315,26.15,34.51
7412,20.03,26.44
7426,17.69,23.35
7503,24.13,31.85
7506,17.48,23.08
7511,23.23,30.67
7514,17.08,22.55
7607,15.62,20.62
7613,20.61,27.2
7616,14.46,19.09
7701,18.6,24.55
7704,16.73,22.08
7705,20.79,27.45
7707,17.48,23.07
7807,18.85,24.89
7811,18.84,24.87
7908,16.73,22.08
7907,24.23,31.98
8004,18.63,24.59
8006,21.43,28.28
8009,15.96,21.06
8012,16.89,22.29
8015,25.28,33.37
8103,16.83,22.21
8107,17.93,23.66
8116,15.27,20.16
8205,18.11,23.9
8209,22.7,29.96
8212,16.6,21.91
8304,28.87,38.11
8402,18.56,24.5
8408,18.2,24.03
8411,21.06,27.79
8504,15.66,20.67
8510,18.86,24.89
8516,13.54,17.88
8607,17.67,23.32
8616,26.91,35.53
8712,22.28,29.41
8719,15.33,20.24
8802,14.76,19.48
8805,19.37,25.57
8817,19.06,25.16
9003,19.44,25.66
9006,29.7,39.21
9009,16.99,22.43
9012,22.29,29.42
9018,23.08,30.47
9107,27.46,36.24
9110,15.03,19.84
9119,26.84,35.42
9212,21.23,28.03
9215,22.87,30.18
9216,16.8,22.17
9315,20.81,27.47
9406,18.79,24.81
9407,14.87,19.63
9413,21.67,28.6
9418,10.88,14.36
9502,13.73,18.13
9504,22.93,30.27
9509,18.5,24.42
9607,19.08,25.19
9608,21.45,28.31
9610,18.15,23.96
9714,15.99,21.1
9801,16.38,21.62
9802,18.54,24.47
9810,22.58,29.8
9903,25.8,34.06
9905,21.47,28.34
9909,22.52,29.72
9914,26.05,34.39
0010,23.14,30.55
0102,20.38,26.9
0105,17.03,22.47
0116,18.29,24.14
0119,16.99,22.43
0208,19.45,25.67
0212,15.86,20.93
0309,18.45,24.35
0313,17.33,22.87
0411,22.41,29.59
0418,23.26,30.7
0421,16.83,22.21
0428,19.89,26.25
0505,14.15,18.68
0510,20.03,26.44
0513,15.16,20.01
0519,22.62,29.86
0601,23.44,30.94
0605,21.54,28.43
0609,18.02,23.79
0707,17.07,22.54
0708,14.64,19.33
0709,21.89,28.89
0808,19.05,25.15
0903,24.42,32.23
0906,18.75,24.76
1006,20.78,27.43
1008,14.98,19.77
1010,26.13,34.49
1011,24.0,31.68
1013,25.55,33.73
1103,18.51,24.43
1111,19.81,26.16
1205,20.71,27.34
1214,20.62,27.22
1308,14.68,19.38
1312,10.91,14.4
1319,14.73,19.45
1407,19.74,26.06
1410,17.55,23.16
1510,23.38,30.87
1513,19.93,26.3
1521,15.73,20.76
1601,20.84,27.51
1604,15.58,20.57
1608,14.37,18.97
1614,25.53,33.7
1617,21.17,27.94
1619,16.22,21.42
1707,17.35,22.9
1709,16.51,21.79
1710,13.69,18.07
1716,16.62,21.94
1717,15.22,20.1
1804,14.86,19.62
1806,16.48,21.75
