tyNum,Vmax10m,Vmax100m
7004,20.25,26.73
7010,15.62,20.62
7011,15.48,20.44
7114,17.64,23.29
7115,22.26,29.38
7122,17.12,22.59
7204,22.66,29.92
7301,24.87,32.83
7304,18.68,24.66
7310,16.52,21.81
7315,22.55,29.76
7412,17.72,23.39
7417,15.27,20.15
7419,14.21,18.75
7426,19.91,26.28
7503,20.25,26.73
7506,17.71,23.38
7511,23.59,31.14
7514,21.4,28.24
7607,16.34,21.57
7616,19.74,26.05
7701,19.93,26.3
7704,19.36,25.56
7705,12.17,16.06
7707,19.59,25.86
7801,10.9,14.39
7807,19.62,25.9
7811,14.3,18.88
7908,25.51,33.68
7907,23.0,30.35
7913,15.0,19.8
8004,22.44,29.62
8006,23.93,31.58
8009,19.82,26.17
8015,30.6,40.39
8103,14.43,19.05
8111,14.79,19.53
8116,18.22,24.05
8205,15.16,20.01
8209,19.43,25.64
8212,19.51,25.75
8304,29.73,39.24
8402,21.08,27.82
8408,14.35,18.94
8411,21.68,28.61
8504,19.57,25.83
8510,17.56,23.18
8516,17.08,22.55
8607,21.09,27.84
8616,30.29,39.99
8712,19.8,26.14
8719,15.74,20.77
8802,19.66,25.95
8805,22.67,29.92
8817,22.41,29.58
8819,15.69,20.71
9003,16.67,22.0
9006,27.89,36.81
9009,19.49,25.73
9012,19.37,25.57
9018,21.9,28.9
9107,34.41,45.42
9110,19.81,26.15
9116,17.36,22.91
9119,25.99,34.3
9212,22.57,29.79
9215,20.25,26.73
9315,27.54,36.35
9406,12.92,17.06
9407,18.18,23.99
9413,16.52,21.81
9424,16.19,21.37
9502,20.38,26.91
9504,23.41,30.9
9509,26.48,34.95
9607,20.67,27.28
9610,17.65,23.29
9801,16.3,21.52
9810,26.89,35.49
9903,24.41,32.22
9905,20.66,27.27
9908,16.43,21.69
9909,17.84,23.55
9910,15.38,20.3
9913,14.01,18.49
9914,27.64,36.49
0010,19.27,25.44
0013,14.75,19.47
0102,22.48,29.67
0104,18.11,23.91
0105,15.73,20.76
0116,20.43,26.97
0119,14.9,19.67
0208,19.79,26.13
0212,16.27,21.48
0309,17.46,23.05
0313,23.32,30.79
0409,17.48,23.07
0411,20.02,26.43
0418,23.43,30.93
0421,15.15,20.0
0428,17.33,22.88
0510,25.03,33.03
0513,10.94,14.44
0519,18.54,24.47
0601,25.3,33.39
0605,21.42,28.28
0609,17.05,22.51
0707,20.84,27.51
0708,14.9,19.66
0709,17.27,22.8
0812,18.06,23.84
0903,23.32,30.78
0904,20.8,27.45
0906,22.25,29.37
1006,23.06,30.44
1010,24.04,31.74
1011,26.1,34.46
1013,28.49,37.6
1103,23.87,31.51
1111,17.65,23.3
1205,16.62,21.93
1214,26.08,34.43
1308,19.2,25.34
1319,23.84,31.47
1407,22.02,29.07
1510,31.67,41.8
1513,18.56,24.5
1521,22.65,29.9
1601,17.9,23.63
1604,14.84,19.58
1608,16.98,22.42
1614,19.68,25.98
1617,18.63,24.59
1619,17.42,23.0
1622,16.99,22.43
1707,14.25,18.81
1709,14.95,19.73
1713,15.79,20.85
1716,18.84,24.87
1717,15.53,20.5
1804,15.63,20.63
1806,18.2,24.02
1823,16.5,21.78
