tyNum,Vmax10m,Vmax100m
7003,20.19,26.65
7004,19.28,25.45
7005,15.91,21.0
7010,15.87,20.94
7011,22.3,29.44
7012,17.74,23.42
7108,25.11,33.15
7114,24.09,31.8
7118,24.26,32.02
7202,16.08,21.22
7204,16.13,21.29
7220,10.67,14.08
7304,26.56,35.06
7307,15.26,20.15
7310,16.44,21.7
7312,21.22,28.01
7313,17.47,23.07
7405,18.36,24.24
7411,18.33,24.2
7419,22.17,29.27
7421,15.34,20.24
7422,21.43,28.29
7424,19.32,25.5
7426,15.38,20.3
7427,21.64,28.56
7506,22.34,29.5
7511,14.39,18.99
7513,23.76,31.37
7514,28.22,37.25
7515,18.61,24.57
7610,21.91,28.93
7614,22.14,29.23
7616,21.43,28.29
7619,21.86,28.85
7712,17.61,23.25
7807,26.54,35.03
7812,17.42,22.99
7820,17.13,22.62
7905,19.98,26.38
7908,32.09,42.36
7907,18.77,24.78
7913,17.77,23.45
8004,18.73,24.72
8008,17.08,22.54
8007,11.67,15.4
8009,17.92,23.65
8011,22.99,30.35
8106,22.4,29.57
8107,17.18,22.68
8116,19.17,25.3
8205,18.31,24.17
8208,14.82,19.57
8309,26.56,35.05
8314,18.43,24.33
8402,25.06,33.08
8404,20.46,27.0
8408,21.38,28.22
8411,17.25,22.77
8504,20.42,26.96
8515,21.93,28.94
8604,15.84,20.91
8607,22.64,29.89
8616,24.57,32.43
8621,22.73,30.01
8625,19.68,25.98
8702,18.9,24.95
8721,17.49,23.09
8804,18.59,24.54
8805,21.25,28.05
8817,16.21,21.4
8819,18.04,23.81
8903,24.56,32.42
8908,23.82,31.45
8926,14.54,19.2
9003,11.75,15.51
9009,17.75,23.43
9012,13.32,17.58
9018,14.51,19.16
9107,16.62,21.94
9108,23.18,30.59
9111,20.9,27.59
9116,20.22,26.7
9206,19.08,25.18
9207,16.17,21.35
9212,18.32,24.18
9215,17.54,23.15
9302,21.8,28.77
9309,19.74,26.05
9315,14.71,19.42
9316,28.2,37.23
9318,21.31,28.13
9323,18.6,24.55
9403,15.94,21.04
9404,18.15,23.95
9405,16.75,22.11
9419,17.59,23.21
9424,16.67,22.01
9505,23.75,31.35
9509,22.85,30.16
9515,18.13,23.94
9610,16.53,21.82
9615,19.05,25.15
9710,27.77,36.66
9713,17.98,23.74
9803,18.23,24.06
9810,14.86,19.61
9902,19.26,25.42
9903,23.66,31.23
9905,20.83,27.49
9908,23.71,31.3
9909,9.17,12.11
9910,23.92,31.58
9913,17.26,22.79
0013,21.28,28.09
0021,14.56,19.22
0104,23.59,31.14
0107,21.64,28.56
0114,16.07,21.21
0116,16.1,21.25
0204,13.81,18.23
0208,15.33,20.23
0212,19.26,25.42
0218,19.72,26.03
0307,11.5,15.18
0313,19.34,25.53
0409,19.56,25.82
0411,14.02,18.51
0418,17.59,23.22
0518,16.77,22.14
0601,13.07,17.26
0606,16.77,22.14
0609,15.94,21.04
0707,20.53,27.1
0714,15.91,21.0
0801,17.62,23.26
0806,20.88,27.56
0809,25.46,33.6
0812,25.65,33.85
0814,19.04,25.14
0904,21.48,28.35
0905,13.65,18.02
0906,24.0,31.69
0907,25.92,34.21
0915,28.05,37.03
1006,14.68,19.38
1011,18.13,23.93
1104,17.77,23.45
1205,15.95,21.05
1206,18.95,25.01
1208,29.5,38.94
1213,18.89,24.94
1311,18.45,24.35
1319,24.83,32.78
1329,21.16,27.93
1510,23.5,31.02
1522,15.24,20.11
1604,23.38,30.86
1608,19.11,25.23
1619,15.94,21.05
1622,19.23,25.38
1702,22.18,29.27
1707,15.54,20.52
1713,29.93,39.5
1714,21.66,28.59
1716,15.75,20.8
1720,20.77,27.42
1804,17.5,23.1
1816,21.08,27.83
1822,31.67,41.8
1823,16.81,22.19
1826,14.25,18.81
